"Column_Name","TBLNAME","CRFNAME","Description","LENGTH","TYPE","CODE","NOTE","update_stamp"
"ASCELLOFTN","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","16c. Did you use a cellphone or smartphone less often than usual?","3","N","1=Yes;0=No","NA: missing value","2018-11-27 11:12:55.0"
"ASCELITDIF","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","16d. Did you use a cellphone or smartphone:","36","N","3=As well as usual, with no difficulty;2=With a little difficulty;1=With a lot of difficulty","NA: missing value","2018-11-27 11:12:55.0"
"ASCOMP","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","17. Did you ever use a computer, tablet, or other device with internet access?","3","N","1=Yes;0=No","NA: missing value","2018-11-27 11:12:55.0"
"ASACCESS","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","17a. If yes, during the past 3 months, did you use a computer, tablet, or other device with internet access?","3","N","1=Yes;0=No","NA: missing value","2018-11-27 11:12:55.0"
"ASWEB","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","17b.i. Access websites, Facebook, or email:","3","N","1=Yes;0=No","NA: missing value","2018-11-27 11:12:55.0"
"ASINFO","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","17b.ii. Enter information on the device, e.g, made bookmarks, wrote and sent emails, posted on Facebook, etc:","3","N","1=Yes;0=No","NA: missing value","2018-11-27 11:12:55.0"
"ASPURCH","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","17b.iii. Make purchases or reservations:","3","N","1=Yes;0=No","NA: missing value","2018-11-27 11:12:55.0"
"ASPASS","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","17b.iv. Use passwords and remember or find them on your own:","3","N","1=Yes;0=No","NA: missing value","2018-11-27 11:12:55.0"
"ASCOMPOFTN","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","17c. Did you use a computer, tablet, or other device with internet access less often than usual?","3","N","1=Yes;0=No","NA: missing value","2018-11-27 11:12:55.0"
"ASCLITDIF","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","17d. Did you use a computer, tablet, or other device with internet access:","36","N","3=As well as usual, with no difficulty;2=With a little difficulty;1=With a lot of difficulty","NA: missing value","2018-11-27 11:12:55.0"
"ASEREAD","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","18. Did you ever use an e-reader, e.g. Nook, Kindle or a tablet?","3","N","1=Yes;0=No","NA: missing value","2018-11-27 11:12:55.0"
"ASEREAD4","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","18a. If yes, during the past 3 months, did you use an e-reader, e.g. Nook, Kindle or a tablet?","3","N","1=Yes;0=No","NA: missing value","2018-11-27 11:12:55.0"
"ASEBOOK","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","18b.i. Read a book or article:","3","N","1=Yes;0=No","NA: missing value","2018-11-27 11:12:55.0"
"ASEDLOAD","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","18b.ii. Download reading material:","3","N","1=Yes;0=No","NA: missing value","2018-11-27 11:12:55.0"
"ASEADJUST","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","18b.iii. Make an adjustment to appearance e.g., inserted a bookmark or adjusted settings:","3","N","1=Yes;0=No","NA: missing value","2018-11-27 11:12:55.0"
"ASEOFTEN","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","18c. Did you use an e-reader less often than usual?","3","N","1=Yes;0=No","NA: missing value","2018-11-27 11:12:55.0"
"ASELITDIF","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","18d. Did you use an e-reader:","36","N","3=As well as usual, with no difficulty;2=With a little difficulty;1=With a lot of difficulty","NA: missing value","2018-11-27 11:12:55.0"
"ASSCORE","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","Total Score","17","N","","NA: missing value","2018-11-27 11:12:55.0"
"ASMETHOD","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","Method of Collection:","9","N","1=In-person;2=By phone","NA: missing value","2018-11-27 11:12:55.0"
"BID","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","Blinded Participant ID","10","T","","","2018-11-27 11:12:55.0"
"VISCODE","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","VISIT CODE","1","T","1=scv1;2=scv2;3=scv3;4=scv4;5=scv5","","2018-11-27 11:12:55.0"
"DONE","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","Was assessment/procedure done?","3","N","1=Yes;0=No","","2018-11-27 11:12:55.0"
"NDREASON","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","If No, reason not done:","40","N","1=Participant Unable for Cognitive Reasons;2=Participant Unable for Other Reasons (Physical, auditory, etc.);3=Participant/Study Partner Refused;7=Site Error;8=Other Reason;9=Unknown","NA: missing value","2018-11-27 11:12:55.0"
"AICBOOK","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","1. In the past 3 months, how well did {P} balance a credit card statement, pay bills, or use an ATM to make a withdrawal or deposit?","36","N","3=As well as usual, with no difficulty;2=With some difficulty;1=With a lot of difficulty;0={P} did not do this activity at all;-8=You do not know","NA: missing value","2018-11-27 11:12:55.0"
"AISUB1A","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","If with some difficulty:","23","N","1={P} did this less often","NA: missing value","2018-11-27 11:12:55.0"
"AISUB1B","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","","14","N","1=It took longer","NA: missing value","2018-11-27 11:12:55.0"
"AISUB1C","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","","15","N","1={P} made errors","NA: missing value","2018-11-27 11:12:55.0"
"AITRAVL","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","2. In the past 3 months, did {P} drive a car without getting lost, or travel to wherever he/she needed to go by using public or other transport?","36","N","3=As well as usual, with no difficulty;2=With some difficulty;1=With a lot of difficulty;0={P} did not do this activity at all;-8=You do not know","NA: missing value","2018-11-27 11:12:55.0"
"AISUB2A","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","If with some difficulty:","23","N","1={P} did this less often","NA: missing value","2018-11-27 11:12:55.0"
"AISUB2B","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","","14","N","1=It took longer","NA: missing value","2018-11-27 11:12:55.0"
"AISUB2C","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","","15","N","1={P} made errors","NA: missing value","2018-11-27 11:12:55.0"
"AIAPPLI","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","3. In the past 3 months, how well did {P} use an appliance (for example, a microwave, dishwasher, vacuum cleaner, or TV remote), or carry out household repairs?","36","N","3=As well as usual, with no difficulty;2=With some difficulty;1=With a lot of difficulty;0={P} did not do this activity at all;-8=You do not know","NA: missing value","2018-11-27 11:12:55.0"
"AISUB3A","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","If with some difficulty:","23","N","1={P} did this less often","NA: missing value","2018-11-27 11:12:55.0"
"AISUB3B","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","","14","N","1=It took longer","NA: missing value","2018-11-27 11:12:55.0"
"AISUB3C","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","","15","N","1={P} made errors","NA: missing value","2018-11-27 11:12:55.0"
"AILAUN","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","4. In the past 3 months, did {P} clean a load of laundry?","36","N","3=As well as usual, with no difficulty;2=With some difficulty;1=With a lot of difficulty;0={P} did not do this activity at all;-8=You do not know","NA: missing value","2018-11-27 11:12:55.0"
"AISUB4A","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","If with some difficulty:","23","N","1={P} did this less often","NA: missing value","2018-11-27 11:12:55.0"
"AISUB4B","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","","14","N","1=It took longer","NA: missing value","2018-11-27 11:12:55.0"
"AISUB4C","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","","15","N","1={P} made errors","NA: missing value","2018-11-27 11:12:55.0"
"AIPAY","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","5. In the past 3 months, did {P} select and pay for items when shopping?","36","N","3=As well as usual, with no difficulty;2=With some difficulty;1=With a lot of difficulty;0={P} did not do this activity at all;-8=You do not know","NA: missing value","2018-11-27 11:12:55.0"
"AISUB5A","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","If with some difficulty:","23","N","1={P} did this less often","NA: missing value","2018-11-27 11:12:55.0"
"AISUB5B","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","","14","N","1=It took longer","NA: missing value","2018-11-27 11:12:55.0"
"AISUB5C","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","","15","N","1={P} made errors","NA: missing value","2018-11-27 11:12:55.0"
"AISNACK","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","6. In the past 3 months, did {P} prepare a meal or snack?","36","N","3=As well as usual, with no difficulty;2=With some difficulty;1=With a lot of difficulty;0={P} did not do this activity at all;-8=You do not know","NA: missing value","2018-11-27 11:12:55.0"
"AISUB6A","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","If with some difficulty:","23","N","1={P} did this less often","NA: missing value","2018-11-27 11:12:55.0"
"AISUB6B","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","","14","N","1=It took longer","NA: missing value","2018-11-27 11:12:55.0"
"AISUB6C","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","","15","N","1={P} made errors","NA: missing value","2018-11-27 11:12:55.0"
"AITIMES","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","7. In the past 3 months, how well did {P} remember important dates and times, such as appointments or meetings?","36","N","3=As well as usual, with no difficulty;2=With some difficulty;1=With a lot of difficulty;0={P} did not do this activity at all;-8=You do not know","NA: missing value","2018-11-27 11:12:55.0"
"AISUB7A","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","If with some difficulty:","23","N","1={P} did this less often","NA: missing value","2018-11-27 11:12:55.0"
"AISUB7B","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","","14","N","1=It took longer","NA: missing value","2018-11-27 11:12:55.0"
"AISUB7C","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","","15","N","1={P} made errors","NA: missing value","2018-11-27 11:12:55.0"
"AIFIND","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","8. In the past 3 months, did {P} usually manage to find personal belongings at home - for example keys, glasses, a wallet or books?","36","N","3=As well as usual, with no difficulty;2=With some difficulty;1=With a lot of difficulty;0={P} did not do this activity at all;-8=You do not know","NA: missing value","2018-11-27 11:12:55.0"
"AISUB8A","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","If with some difficulty:","23","N","1={P} did this less often","NA: missing value","2018-11-27 11:12:55.0"
"AISUB8B","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","","14","N","1=It took longer","NA: missing value","2018-11-27 11:12:55.0"
"AISUB8C","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","","15","N","1={P} made errors","NA: missing value","2018-11-27 11:12:55.0"
"AIWDOWN","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","9. In the past 3 months, how well did {P} write things down, for example letters or detailed notes or lists, so that other people understood them?","36","N","3=As well as usual, with no difficulty;2=With some difficulty;1=With a lot of difficulty;0={P} did not do this activity at all;-8=You do not know","NA: missing value","2018-11-27 11:12:55.0"
"AISUB9A","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","If with some difficulty:","23","N","1={P} did this less often","NA: missing value","2018-11-27 11:12:55.0"
"AISUB9B","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","","14","N","1=It took longer","NA: missing value","2018-11-27 11:12:55.0"
"AISUB9C","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","","15","N","1={P} made errors","NA: missing value","2018-11-27 11:12:55.0"
"AIMOVIE","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","10. In the past 3 months, how well did {P} follow TV programs or movies and remember the details of the story?","36","N","3=As well as usual, with no difficulty;2=With some difficulty;1=With a lot of difficulty;0={P} did not do this activity at all;-8=You do not know","NA: missing value","2018-11-27 11:12:55.0"
"AISUB10A","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","If with some difficulty:","50","N","1={P} recalled only the main points, not the details","NA: missing value","2018-11-27 11:12:55.0"
"AISUB10B","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","","38","N","1={P} made errors in recalling the story","NA: missing value","2018-11-27 11:12:55.0"
"AICEVNT","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","11. In the past 3 months, how well did {P} talk about and remember current events that he/she heard or read about?","36","N","3=As well as usual, with no difficulty;2=With some difficulty;1=With a lot of difficulty;0={P} did not do this activity at all;-8=You do not know","NA: missing value","2018-11-27 11:12:55.0"
"AISUB11A","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","If with some difficulty:","50","N","1={P} recalled only the main points, not the details","NA: missing value","2018-11-27 11:12:55.0"
"AISUB11B","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","","42","N","1={P} made errors in recalling what happened","NA: missing value","2018-11-27 11:12:55.0"
"AIPHONE","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","12. In the past 3 months, how well did {P} make telephone calls, including looking up numbers or calling directory assistance if necessary?","36","N","3=As well as usual, with no difficulty;2=With some difficulty;1=With a lot of difficulty;0={P} did not do this activity at all;-8=You do not know","NA: missing value","2018-11-27 11:12:55.0"
"AISUB12A","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","If with some difficulty:","23","N","1={P} did this less often","NA: missing value","2018-11-27 11:12:55.0"
"AISUB12B","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","","14","N","1=It took longer","NA: missing value","2018-11-27 11:12:55.0"
"AISUB12C","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","","15","N","1={P} made errors","NA: missing value","2018-11-27 11:12:55.0"
"AIMEDS","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","13. In the past 3 months, did {P} take medications regularly - including prescription or over the counter medications?","36","N","3=As well as usual, with no difficulty;2=With some difficulty;1=With a lot of difficulty;0={P} did not do this activity at all;-8=You do not know","NA: missing value","2018-11-27 11:12:55.0"
"AISUB13A","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","If with some difficulty:","35","N","1={P} started to use a pill organizer","NA: missing value","2018-11-27 11:12:55.0"
"AISUB13B","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","","15","N","1={P} made errors","NA: missing value","2018-11-27 11:12:55.0"
"AIPLAN","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","14. In the past 3 months, did {P} plan and organize complex activities for him/herself or for groups of people, for example travel, running errands, participating in group activities (such as religious services), or carrying out hobbies or pastimes?","36","N","3=As well as usual, with no difficulty;2=With some difficulty;1=With a lot of difficulty;0={P} did not do this activity at all;-8=You do not know","NA: missing value","2018-11-27 11:12:55.0"
"AISUB14A","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","If with some difficulty:","23","N","1={P} did this less often","NA: missing value","2018-11-27 11:12:55.0"
"AISUB14B","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","","14","N","1=It took longer","NA: missing value","2018-11-27 11:12:55.0"
"AISUB14C","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","","15","N","1={P} made errors","NA: missing value","2018-11-27 11:12:55.0"
"AICOMPL","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","15. In the past 3 months, did {P} complete complex activities such as hobbies or pastimes, for example playing card games, reading books, gardening?","36","N","3=As well as usual, with no difficulty;2=With some difficulty;1=With a lot of difficulty;0={P} did not do this activity at all;-8=You do not know","NA: missing value","2018-11-27 11:12:55.0"
"AISUB15A","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","If with some difficulty:","23","N","1={P} did this less often","NA: missing value","2018-11-27 11:12:55.0"
"AISUB15B","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","","14","N","1=It took longer","NA: missing value","2018-11-27 11:12:55.0"
"AISUB15C","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","","15","N","1={P} made errors","NA: missing value","2018-11-27 11:12:55.0"
"AICELL","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","16. Did {P} ever use a cellphone or smartphone?","10","N","1=Yes;0=No;-8=Don't know","NA: missing value","2018-11-27 11:12:55.0"
"AICELLUSE","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","16a. If yes, during the past 3 months, did {P} use a cellphone or smartphone?","10","N","1=Yes;0=No;-8=Don't know","NA: missing value","2018-11-27 11:12:55.0"
"AICALL","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","16b.i. Make a call:","10","N","1=Yes;0=No;-8=Don't know","NA: missing value","2018-11-27 11:12:55.0"
"AITEXT","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","16b.ii. Send a text message:","10","N","1=Yes;0=No;-8=Don't know","NA: missing value","2018-11-27 11:12:55.0"
"AIINTER","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","16b.iii. Access the internet (e.g., websites, Facebook, etc):","10","N","1=Yes;0=No;-8=Don't know","NA: missing value","2018-11-27 11:12:55.0"
"AIAPP","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","16b.iv. Use an App (including playing a game):","10","N","1=Yes;0=No;-8=Don't know","NA: missing value","2018-11-27 11:12:55.0"
"AICELLOFTN","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","16c. Did {P} use a cellphone or smartphone less often than usual?","10","N","1=Yes;0=No;-8=Don't know","NA: missing value","2018-11-27 11:12:55.0"
"AICELITDIF","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","16d. Did {P} use a cellphone or smartphone:","36","N","3=As well as usual, with no difficulty;2=With a little difficulty;1=With a lot of difficulty","NA: missing value","2018-11-27 11:12:55.0"
"AICOMP","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","17. Did {P} ever use a computer, tablet, or other device with internet access?","10","N","1=Yes;0=No;-8=Don't know","NA: missing value","2018-11-27 11:12:55.0"
"AIACCESS","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","17a. If yes, during the past 3 months, did {P} use a computer, tablet, or other device with internet access?","10","N","1=Yes;0=No;-8=Don't know","NA: missing value","2018-11-27 11:12:55.0"
"AIWEB","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","17b.i. Access websites, Facebook, or email:","10","N","1=Yes;0=No;-8=Don't know","NA: missing value","2018-11-27 11:12:55.0"
"AIINFO","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","17b.ii. Enter information on the device, e.g, made bookmarks, wrote and sent emails, posted on Facebook, etc:","10","N","1=Yes;0=No;-8=Don't know","NA: missing value","2018-11-27 11:12:55.0"
"AIPURCH","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","17b.iii. Make purchases or reservations:","10","N","1=Yes;0=No;-8=Don't know","NA: missing value","2018-11-27 11:12:55.0"
"AIPASS","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","17b.iv. Use passwords and remember or find them on his/her own:","10","N","1=Yes;0=No;-8=Don't know","NA: missing value","2018-11-27 11:12:55.0"
"AICOMPOFTN","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","17c. Did {P} use a computer, tablet, or other device with internet access less often than usual?","10","N","1=Yes;0=No;-8=Don't know","NA: missing value","2018-11-27 11:12:55.0"
"AICLITDIF","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","17d. Did {P} use a computer, tablet, or other device with internet access:","36","N","3=As well as usual, with no difficulty;2=With a little difficulty;1=With a lot of difficulty","NA: missing value","2018-11-27 11:12:55.0"
"AIEREAD","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","18. Did {P} ever use an e-reader, e.g. Nook, Kindle or a tablet?","10","N","1=Yes;0=No;-8=Don't know","NA: missing value","2018-11-27 11:12:55.0"
"AIEREAD4","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","18a. If yes, during the past 3 months, did {P} use an e-reader, e.g. Nook, Kindle or a tablet?","10","N","1=Yes;0=No;-8=Don't know","NA: missing value","2018-11-27 11:12:55.0"
"AIEBOOK","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","18b.i. Read a book or article:","10","N","1=Yes;0=No;-8=Don't know","NA: missing value","2018-11-27 11:12:55.0"
"AIEDLOAD","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","18b.ii. Download reading material:","10","N","1=Yes;0=No;-8=Don't know","NA: missing value","2018-11-27 11:12:55.0"
"AIEADJUST","ADLPQSP","ADCS ADL-Prevention Questionnaire for Study Partner","18b.iii. Make an adjustment to appearance e.g., inserted a bookmark or adjusted settings:","10","N","1=Yes;0=No;-8=Don't know","NA: missing value","2018-11-27 11:12:55.0"
